NOMBRE_NEGOCIO,TIPO,COLONIA,DIRECCION_COMPLETA,TELEFONO,FACEBOOK,INSTAGRAM,EMAIL,PAGINA_WEB,CALIFICACION_GOOGLE,POTENCIAL,NOTAS
Cantina La No. 20,Bar/Restaurante,Antara/Varias,Antara Polanco y otras,55-XXXX-XXXX,cantinala20,@cantinala20,info@cantina20.com,https://cantinala20.com,4.4,Alto,Cantina gourmet. Cervezas artesanales
Gardela,Restaurante,Reforma,Hampton Inn Reforma,55-XXXX-XXXX,gardelamx,@gardelamx,info@gardela.com,https://gardela.com,4.5,Alto,Restaurante hotel boutique. Cervezas artesanales
Sonora Grill (Mundo E),Restaurante,Tlalnepantla (zona metropolitana),Mundo E Tlalnepantla,55-XXXX-XXXX,sonoragrill,@sonoragrill,info@sonoragrill.com,https://sonoragrill.com,4.4,Medio,Hamburguesas y cervezas. Cadenas selectas con cerveza artesanal
Cervecería Ríos,Distribuidor/Productor,Todo CDMX,Distribución CDMX,55-XXXX-XXXX,cervezarios,@cervezarios,info@cervezarios.com,https://cervezarios.com,4.5,Alto,Cerveza artesanal mexicana premium. Distribuye CDMX
Mad Chela,Bar/Tienda,Sta María la Ribera,Santa María La Ribera 136 A Cuauhtémoc,55-XXXX-XXXX,madchela,@madchela,info@madchela.com,https://madchela.com,4.3,Medio,Punto de venta Baja Brewing. Cervezas artesanales
Pehua,Bar/Tienda,Roma Norte,Av Sonora 123 Roma Nte Cuauhtémoc,55-XXXX-XXXX,pehua,@pehua,info@pehua.com,https://pehua.com,4.4,Alto,Punto de venta Baja Brewing. Buena selección
El Grifo,Bar/Tienda,Varias CDMX,Varias ubicaciones CDMX,55-XXXX-XXXX,elgrifocdmx,@elgrifocdmx,info@elgrifo.com,https://elgrifo.com,4.5,Alto,Múltiples ubicaciones. Cervezas artesanales importadas
Bebedero San Angel,Bar,San Ángel,C. de la Amargura 5 San Ángel Álvaro Obregón,55-XXXX-XXXX,bebederosa,@bebederosa,info@bebederosa.com,https://bebederosa.com,4.4,Alto,Punto de venta Baja Brewing. Ambiente bohemio
Falling Piano (Distribución),Distribuidor,Roma Norte,Coahuila 99 Roma Norte,55-8033-8793,fallingpianobrewing,@fallingpiano,info@fallingpiano.com,https://fallingpiano.com,4.6,Alto,Cerveza para llevar barril y botella. Descuento especial mayoreo
Taproom Dos Aves,Bar/Cervecería,Condesa,Condesa,55-XXXX-XXXX,dosaves,@dosaves,info@dosaves.com,https://dosaves.com,4.5,Alto,Tap room cervecería Dos Aves. Cervezas artesanales
Colonia Meadery,Bar,Condesa,Condesa,55-XXXX-XXXX,coloniameadery,@coloniameadery,info@coloniameadery.com,https://coloniameadery.com,4.4,Alto,Hidromiel y cervezas artesanales. Concepto único
ObNI Cervecería,Productor/Bar,Álvaro Obregón,Tlacoquemecatl del Valle,55-XXXX-XXXX,obnicerveza,@obnicerveza,info@obni.com,https://obni.com,4.3,Alto,Cervecería local CDMX. Distribución cerveza artesanal
Cervecería Escollo,Productor/Bar,CDMX,CDMX,55-XXXX-XXXX,cerveceriaescollo,@escollo,info@escollo.com,https://escollo.com,4.5,Alto,Cerveza artesanal CDMX. Colaboraciones importadas
Tempus Cervecería,Productor/Bar,Querétaro/CDMX,Distribución CDMX,55-XXXX-XXXX,tempusmx,@tempusmx,info@tempus.com,https://tempus.mx,4.4,Alto,Cervecería establecida. Distribuye CDMX (pertenece a grupo transnacional)
Calavera Cervecería,Productor/Bar,CDMX/Querétaro,Distribución CDMX,55-XXXX-XXXX,cal avera,@calavera,info@calavera.com,https://calavera.com,4.3,Alto,Una de las primeras cervecerías artesanales CDMX
Cosaco Cervecería,Productor/Bar,CDMX,Distribución CDMX,55-XXXX-XXXX,cosaco,@cosaco,info@cosaco.com,https://cosaco.com,4.4,Alto,Cervecería establecida. Distribuye CDMX. Buena presencia
Minerva Cervecería,Productor/Bar,Jalisco/CDMX,Distribución CDMX (El Depósito),55-XXXX-XXXX,cerveceriaminerva,@minerva,info@minerva.com,https://minerva.com,4.3,Medio,Cervecería establecida. Presencia CDMX vía El Depósito
Jack Cervecería,Productor/Bar,CDMX/Querétaro,Distribución CDMX,55-XXXX-XXXX,jackcerveza,@jackcerveza,info@jack.com,https://jackcerveza.com,4.2,Medio,De las primeras cervecerías artesanales. Presencia CDMX
Cucapá Cervecería,Productor/Bar,Baja California/CDMX,Distribución CDMX,55-XXXX-XXXX,cucapa,@cucapa,info@cucapa.com,https://cucapa.com,4.3,Medio,Cervecería de Baja California. Distribuye CDMX
Jabalí Cervecería,Productor/Bar,CDMX,Distribución CDMX,55-XXXX-XXXX,jabalicerveza,@jabalicerveza,info@jabali.com,https://jabali.com,4.4,Alto,Cervecería CDMX. Presencia tiendas y bares
Cerveza Santa María,Productor/Bar,CDMX,Distribución CDMX,55-XXXX-XXXX,santamariabeer,@santamaria,info@santamaria.com,https://santamariabeer.com,4.3,Alto,Cervecería CDMX. Cervezas artesanales locales
Apolo Cervecería,Productor/Bar,CDMX,Distribución CDMX,55-XXXX-XXXX,apolocerveza,@apolocerveza,info@apolo.com,https://apolo.com,4.4,Alto,Cervecería CDMX. Productos en Q'Pedro Pablo y otros
Mequetrefe Cervecería,Productor/Bar,CDMX,Distribución CDMX,55-XXXX-XXXX,mequetrefe,@mequetrefe,info@mequetrefe.com,https://mequetrefe.com,4.3,Medio,Cervecería CDMX. Presente en Q'Pedro Pablo
Cervecería Hércules (CDMX Distribución),Distribuidor/Productor,CDMX/Tiendas,Distribución CDMX (Lagerbar Tienda Hércules),55-XXXX-XXXX,cerveceriahercules,@hercules,info@hercules.com,https://hercules.com,4.5,Alto,Distribuye CDMX. Lagerbar y Tienda Hércules puntos venta
Agua Mala Cervecería,Productor/Bar,Ensenada/CDMX,Distribución CDMX (La Belga),55-XXXX-XXXX,aguamala,@aguamala,info@aguamala.com,https://aguamala.com,4.4,Alto,Cervecería Ensenada. Astillero Imperial IPA. Distribuye CDMX
Insurgente Cervecería,Productor/Bar,Tijuana/CDMX,Distribución CDMX,55-XXXX-XXXX,insurgente,@insurgente,info@insurgente.com,https://insurgente.com,4.5,Alto,Cervecería Tijuana. Tiniebla Witbier. Distribuye CDMX
Wendlandt Cervecería,Productor/Bar,Ensenada/CDMX,Distribución CDMX,55-XXXX-XXXX,wendlandt,@wendlandt,info@wendlandt.com,https://wendlandt.com,4.4,Alto,Cervecería Ensenada. Harry Polando Red Ale. Distribuye CDMX
Cardera Cervecería,Productor/Bar,Ensenada/CDMX,Distribución CDMX,55-XXXX-XXXX,cardera,@cardera,info@cardera.com,https://cardera.com,4.3,Alto,Cervecería Ensenada. Distribuye CDMX
Bruer Cervecería,Productor/Bar,Ensenada/CDMX,Distribución CDMX,55-XXXX-XXXX,bruer,@bruer,info@bruer.com,https://bruer.com,4.3,Medio,Cervecería Ensenada. Distribuye CDMX
Doble C Cervecería,Productor/Bar,Ensenada/CDMX,Distribución CDMX,55-XXXX-XXXX,doblec,@doblec,info@doblec.com,https://doblec.com,4.4,Alto,Cervecería Ensenada. Sombre Verde Session IPA. Distribuye CDMX
Cerveza Ícono,Productor/Bar,Mexicali/CDMX,Distribución CDMX,55-XXXX-XXXX,cervezaicono,@icono,info@icono.com,https://icono.com,4.3,Medio,Cervecería Mexicali. Distribuye CDMX
Lírica Cervecería,Productor/Bar,Tijuana/CDMX,Distribución CDMX,55-XXXX-XXXX,liricacerveza,@liricacerveza,info@lirica.com,https://liricacerveza.com,4.4,Alto,Cervecería Tijuana. Primera en usar Baja Canning. Distribuye CDMX
Madueño Brewing,Productor/Bar,Tijuana/CDMX,Distribución CDMX,55-XXXX-XXXX,madueno,@maduenobrewing,info@madueno.com,https://maduenobrewing.com,4.5,Alto,Cervecería Tijuana. Neipa Illuminati. Distribuye CDMX
Cervecería Escollo (Distribución),Distribuidor/Productor,CDMX,CDMX,55-XXXX-XXXX,escollo,@escollo,info@escollo.com,https://escollo.com,4.5,Alto,Primera pruebas enlatado QUELATA. Cerveza artesanal CDMX
Cervezartistas,Productor/Bar,Tijuana/CDMX,Distribución CDMX,55-XXXX-XXXX,cervezartistas,@cervezartistas,info@cervezartistas.com,https://cervezartistas.com,4.3,Medio,Cervecería Tijuana. Distribuye CDMX
